Gcode,CompanyTicker,SecurityTicker,SeniorSecurity,SecurityType,AbreviatedSecurityDescription,ListDate_YMD,DelistDate_YMD,ListDate_DaysSince,DelistDate_DaysSince,ListDate,DelistDate,RecordCount,FullCompanyName,AbbrevCompanyName,EarliestListDate,LatestDelistDate,GICSIndustry,SIRCAIndustryClassCode,SIRCASectorCode,CompanyDelistReasonCode,CompanyRelatedGCode,CompanyDelistReasonComment,AlteredLink,MS_CompanyID,MS_SecurityID,MS_CompanyID2,MS_SecurityID2,MA_Identifier
cfk1,CFK,CFK,1,01,ordinary,20060522,20090901,38859,40057,22/05/2006,01/09/2009,526,CFK CHILDCARE CENTRES LIMITED,CFK CHILDCARE CENTRE,04/04/2005,01/09/2009,25300000,9,25,F,,,,0C00000LE1,,,,CFK
cflo1,CFL,CFLO,1,07,etf units,20231116,,45246,,16/11/2023,,284,BETASHARES GLOBAL CASH FLOW KINGS ETF,BETA GBL CASH FLOW,16/11/2023,,0,26,70,,,,,,,,,CFLO
cfo1,CFO,CFO,1,01,ordinary,20161026,20240829,42669,45533,26/10/2016,29/08/2024,1284,CFOAM LIMITED,CFOAM LIMITED,26/10/2016,29/08/2024,20100000,4,20,F,,,,0C0000B4RP,0P00018BR0,,,CFO
cfr1,CFR,CFR,1,01,ordinary,19950718,20110605,34898,40699,18/07/1995,05/06/2011,2768,CLUFF RESOURCES PACIFIC NL,CLUFF RESOURCES,30/09/1982,,15104000,3,15,N,,,,0C00000LGQ,0P00006WE5,,,ASR
cfr1,TNR,TNR,1,01,ordinary,20110606,20130602,40700,41427,06/06/2011,02/06/2013,347,TORIAN RESOURCES NL,TORIAN RESOURCES NL,30/09/1982,,15104000,3,15,N,,,,0C00000LGQ,0P00006WE5,,,ASR
cfr1,TNR,TNRDA,1,01,deferred settlement,20130603,20130617,41428,41442,03/06/2013,17/06/2013,8,TORIAN RESOURCES NL,TORIAN RESOURCES NL,30/09/1982,,15104000,3,15,C,,,,0C00000LGQ,0P00006WE5,,,ASR
cfr1,TNR,TNR,1,01,ordinary,20130618,20140716,41443,41836,18/06/2013,16/07/2014,157,TORIAN RESOURCES NL,TORIAN RESOURCES NL,30/09/1982,,15104000,3,15,N,,,,0C00000LGQ,0P00006WE5,,,ASR
cfr1,TNR,TNR,1,01,ordinary,20140717,20150302,41837,42065,17/07/2014,02/03/2015,90,TORIAN RESOURCES LIMITED,TORIAN RESOURCES LTD,30/09/1982,,15104000,3,15,C,,,,0C00000LGQ,0P00006WE5,,,ASR
cfr1,TNR,TNRDC,1,01,deferred settlement,20150303,20150313,42066,42076,03/03/2015,13/03/2015,2,TORIAN RESOURCES LIMITED,TORIAN RESOURCES LTD,30/09/1982,,15104000,3,15,C,,,,0C00000LGQ,0P00006WE5,,,ASR
cfr1,TNR,TNR,1,01,ordinary,20150314,20220518,42077,44699,14/03/2015,18/05/2022,1530,TORIAN RESOURCES LIMITED,TORIAN RESOURCES LTD,30/09/1982,,15104000,3,15,N,,,,0C00000LGQ,0P00006WE5,,,ASR
